date,season,home_team,away_team,b365h,b365d,b365a,result,matchweek
2007-12-08,2008,Newcastle,Birmingham,0.5386138115050618,0.26745874129300495,0.19392744720193317,H,18
2007-12-08,2008,Reading,Liverpool,0.16237101285156855,0.2551423175398523,0.5824866696085791,H,18
2007-12-09,2008,Blackburn,West Ham,0.5286346332468448,0.2667408783161637,0.2046244884369916,A,18
2007-12-09,2008,Bolton,Wigan,0.4810348266208818,0.2747013671327314,0.24426380624638677,H,18
2007-12-09,2008,Middlesbrough,Arsenal,0.12502393439878726,0.24015284843509427,0.6348232171661186,H,18
2007-12-09,2008,Tottenham,Man City,0.4769412655589503,0.2793569629290802,0.24370177151196945,H,18
2007-12-15,2008,Birmingham,Reading,0.43572449178427997,0.2888429884443281,0.27543251977139194,D,19
2007-12-15,2008,Derby,Middlesbrough,0.30515669760507597,0.2903982961316442,0.4044450062632797,A,19
2007-12-15,2008,Fulham,Newcastle,0.38117537576067345,0.28919253318466703,0.3296320910546593,A,19
2007-12-15,2008,Man City,Bolton,0.5285810512944553,0.28837028371097734,0.18304866499456726,H,19
2007-12-15,2008,Portsmouth,Tottenham,0.43572449178427997,0.2888429884443281,0.27543251977139194,A,19
2007-12-15,2008,Sunderland,Aston Villa,0.29100675468271786,0.29100675468271786,0.4179864906345643,D,19
2007-12-15,2008,West Ham,Everton,0.38117537576067345,0.28919253318466703,0.3296320910546593,A,19
2007-12-15,2008,Wigan,Blackburn,0.29100675468271786,0.29100675468271786,0.4179864906345643,H,19
2007-12-16,2008,Arsenal,Chelsea,0.381266265290417,0.31470389388661973,0.3040298408229632,H,19
2007-12-16,2008,Liverpool,Man United,0.36403165188115466,0.30513204880333317,0.3308362993155123,A,19
2007-12-22,2008,Arsenal,Tottenham,0.6510159589801695,0.23049730613073985,0.11848673488909067,H,20
2007-12-22,2008,Aston Villa,Man City,0.4572182371506965,0.2838364474104832,0.2589453154388204,D,20
2007-12-22,2008,Bolton,Birmingham,0.5064242226108537,0.2820753886681423,0.21150038872100402,H,20
2007-12-22,2008,Fulham,Wigan,0.4572182371506965,0.2838364474104832,0.2589453154388204,D,20
2007-12-22,2008,Liverpool,Portsmouth,0.648153117903773,0.22705022598455313,0.12479665611167404,H,20
2007-12-22,2008,Middlesbrough,West Ham,0.4179367387265882,0.28634179816548994,0.2957214631079218,A,20
2007-12-22,2008,Reading,Sunderland,0.5064242226108537,0.2820753886681423,0.21150038872100402,H,20
2007-12-23,2008,Blackburn,Chelsea,0.21903963155533596,0.2739219700783691,0.507038398366295,A,20
2007-12-23,2008,Man United,Everton,0.718510070982423,0.18727950358941198,0.09421042542816505,H,20
2007-12-23,2008,Newcastle,Derby,0.7362075060189982,0.18763941499435613,0.07615307898664586,D,20
2007-12-26,2008,Birmingham,Middlesbrough,0.42599778290945406,0.2846957389354004,0.28930647815514554,H,20
2007-12-26,2008,Chelsea,Aston Villa,0.6972326400785319,0.207875424062656,0.09489193585881196,D,20
2007-12-26,2008,Derby,Liverpool,0.06152042244865506,0.17383794266375432,0.7646416348875906,A,20
2007-12-26,2008,Everton,Bolton,0.5701422304662107,0.26540080083907974,0.1644569686947094,H,20
2007-12-26,2008,Portsmouth,Arsenal,0.2046244884369916,0.2667408783161637,0.5286346332468448,D,20
2007-12-26,2008,Sunderland,Man United,0.10158136545045683,0.20043372886689248,0.6979849056826507,A,20
2007-12-26,2008,Tottenham,Fulham,0.6768323383134499,0.21520101444053555,0.10796664724601464,H,20
2007-12-26,2008,West Ham,Reading,0.5064242226108537,0.2820753886681423,0.21150038872100402,D,20
2007-12-26,2008,Wigan,Newcastle,0.35089014191007656,0.2839750995406371,0.36513475854928645,H,20
2007-12-27,2008,Man City,Blackburn,0.4572182371506965,0.2838364474104832,0.2589453154388204,D,20
2007-12-29,2008,Birmingham,Fulham,0.507038398366295,0.2739219700783691,0.21903963155533596,D,21
2007-12-29,2008,Chelsea,Newcastle,0.6972326400785319,0.207875424062656,0.09489193585881196,H,21
2007-12-29,2008,Everton,Arsenal,0.26708244607892884,0.27536725441487186,0.45755029950619924,A,21
2007-12-29,2008,Portsmouth,Middlesbrough,0.5824866696085791,0.2551423175398523,0.16237101285156855,A,21
2007-12-29,2008,Sunderland,Bolton,0.38117537576067345,0.28919253318466703,0.3296320910546593,H,21
2007-12-29,2008,Tottenham,Reading,0.648153117903773,0.22705022598455313,0.12479665611167404,H,21
2007-12-29,2008,West Ham,Man United,0.12479665611167406,0.22705022598455316,0.6481531179037728,H,21
2007-12-29,2008,Wigan,Aston Villa,0.28930647815514554,0.2846957389354004,0.42599778290945406,A,21
2007-12-30,2008,Derby,Blackburn,0.22955657149467185,0.26451477851755995,0.5059286499877681,A,21
2007-12-30,2008,Man City,Liverpool,0.2589453154388204,0.2838364474104832,0.4572182371506965,D,21
2008-01-01,2008,Arsenal,West Ham,0.7367692744846633,0.17834942271832888,0.08488130279700774,H,21
